hgnc_symbol	ensembl_gene_id	gene_biotype
LRP6	ENSG00000281324	protein_coding
SYT15B	ENSG00000288175	protein_coding
	ENSG00000288244	lncRNA
NPY4R2	ENSG00000288157	protein_coding
	ENSG00000288304	lncRNA
FAM25C	ENSG00000288481	protein_coding
AGAP12P	ENSG00000288424	transcribed_unprocessed_pseudogene
	ENSG00000290627	lncRNA
RNA5SP315	ENSG00000288201	rRNA_pseudogene
BMS1P7	ENSG00000288196	transcribed_unprocessed_pseudogene
	ENSG00000288457	unprocessed_pseudogene
TOLLIP	ENSG00000291426	protein_coding
TOLLIP-DT	ENSG00000291427	lncRNA
	ENSG00000291429	lncRNA
LINC02689	ENSG00000291430	lncRNA
BRSK2	ENSG00000291428	protein_coding
RPL21P100	ENSG00000280475	processed_pseudogene
RNU6-545P	ENSG00000206783	snRNA
	ENSG00000281874	processed_pseudogene
RNU6-318P	ENSG00000207477	snRNA
MANSC1	ENSG00000281818	protein_coding
	ENSG00000291441	lncRNA
DUSP8	ENSG00000291431	protein_coding
KRTAP5-AS1	ENSG00000291432	lncRNA
RPL23AP66	ENSG00000281051	processed_pseudogene
KRTAP5-1	ENSG00000291433	protein_coding
LOH12CR2	ENSG00000281234	lncRNA
KRTAP5-2	ENSG00000291434	protein_coding
KRTAP5-3	ENSG00000291435	protein_coding
KRTAP5-4	ENSG00000291440	protein_coding
KRTAP5-5	ENSG00000291443	protein_coding
BORCS5	ENSG00000280689	protein_coding
	ENSG00000291436	lncRNA
FAM99A	ENSG00000291437	lncRNA
FAM99B	ENSG00000291438	lncRNA
LINC02708	ENSG00000291439	lncRNA
MOB2	ENSG00000291442	protein_coding
	ENSG00000281168	processed_pseudogene
DUSP16	ENSG00000280962	protein_coding
	ENSG00000288522	lncRNA
HMX1	ENSG00000288204	protein_coding
	ENSG00000281671	lncRNA
	ENSG00000281525	processed_pseudogene
	ENSG00000288247	lncRNA
	ENSG00000282467	processed_pseudogene
	ENSG00000288135	lncRNA
	ENSG00000288322	lncRNA
	ENSG00000288356	lncRNA
	ENSG00000288117	misc_RNA
RBMY3AP	ENSG00000291444	unprocessed_pseudogene
CDY3P	ENSG00000291445	processed_pseudogene
TSPY25P	ENSG00000291446	unprocessed_pseudogene
	ENSG00000288372	lncRNA
USP9YP22	ENSG00000291447	unprocessed_pseudogene
TSPY16P	ENSG00000291448	unprocessed_pseudogene
	ENSG00000288288	lncRNA
USP9YP4	ENSG00000291449	unprocessed_pseudogene
ELOCP4	ENSG00000291450	processed_pseudogene
	ENSG00000288129	lncRNA
RBMY1A3P	ENSG00000291451	unprocessed_pseudogene
	ENSG00000291452	processed_pseudogene
LINC03015	ENSG00000288472	lncRNA
TTTY20	ENSG00000291453	lncRNA
TSPY8	ENSG00000291455	protein_coding
FAM197Y7	ENSG00000291456	lncRNA
	ENSG00000291457	transcribed_unprocessed_pseudogene
TSPY4	ENSG00000291458	protein_coding
TSPY9	ENSG00000291459	protein_coding
FAM197Y2	ENSG00000291460	transcribed_unprocessed_pseudogene
FAM197Y4	ENSG00000291461	transcribed_unprocessed_pseudogene
FAM197Y4	ENSG00000291462	lncRNA
FAM197Y8	ENSG00000291454	transcribed_processed_pseudogene
LINC03014	ENSG00000288417	lncRNA
FAM197Y8	ENSG00000293355	lncRNA
	ENSG00000288502	lncRNA
	ENSG00000288311	lncRNA
	ENSG00000288449	lncRNA
FAM20C	ENSG00000288499	protein_coding
	ENSG00000288159	TEC
	ENSG00000288431	protein_coding
SERTAD4-AS1	ENSG00000280963	lncRNA
SERTAD4	ENSG00000281230	protein_coding
OR4C12	ENSG00000284255	protein_coding
OR4C48P	ENSG00000284278	unprocessed_pseudogene
ST13P19	ENSG00000281067	processed_pseudogene
OR4C49P	ENSG00000284123	unprocessed_pseudogene
OR4C45	ENSG00000292249	protein_coding
	ENSG00000281552	processed_pseudogene
HHAT	ENSG00000280680	protein_coding
GRK1	ENSG00000288263	protein_coding
LINC00552	ENSG00000288305	TEC
	ENSG00000287371	lncRNA
RNU5A-8P	ENSG00000281499	snRNA
	ENSG00000287648	lncRNA
BPNT2P1	ENSG00000280937	processed_pseudogene
ARHGEF19	ENSG00000291381	protein_coding
	ENSG00000291405	lncRNA
ANO7L1	ENSG00000291404	transcribed_unprocessed_pseudogene
	ENSG00000291376	lncRNA
CPLANE2	ENSG00000291382	protein_coding
MT1XP1	ENSG00000291377	processed_pseudogene
FBXO42	ENSG00000291375	protein_coding
SZRD1	ENSG00000291379	protein_coding
RPL22P3	ENSG00000291374	processed_pseudogene
SPATA21	ENSG00000291401	protein_coding
NECAP2	ENSG00000291380	protein_coding
LINC01772	ENSG00000291388	lncRNA
CROCCP3	ENSG00000291402	transcribed_unprocessed_pseudogene
RNU1-1	ENSG00000291389	snRNA
	ENSG00000291390	lncRNA
	ENSG00000291391	lncRNA
LINC01783	ENSG00000291392	lncRNA
RNU1-6P	ENSG00000291393	snRNA
PDE4DIPP8	ENSG00000291394	unprocessed_pseudogene
	ENSG00000291386	lncRNA
RNU1-2	ENSG00000291385	snRNA
	ENSG00000291408	lncRNA
	ENSG00000291384	processed_pseudogene
LINC03126	ENSG00000291400	lncRNA
RNU1-5P	ENSG00000291383	snRNA
ELOCP5	ENSG00000285019	processed_pseudogene
	ENSG00000291395	transcribed_unprocessed_pseudogene
CDY10P	ENSG00000285196	unprocessed_pseudogene
	ENSG00000291397	unprocessed_pseudogene
EIF1AXP1	ENSG00000291398	processed_pseudogene
RNU1-3	ENSG00000291396	snRNA
RNU1-4	ENSG00000291399	snRNA
PADI2	ENSG00000291387	protein_coding
USP9YP3	ENSG00000285308	unprocessed_pseudogene
	ENSG00000292230	unprocessed_pseudogene
USP9YP8	ENSG00000285028	unprocessed_pseudogene
CROCCP4	ENSG00000291403	unprocessed_pseudogene
CDY11P	ENSG00000285455	unprocessed_pseudogene
	ENSG00000292231	unprocessed_pseudogene
OFD1P16Y	ENSG00000285477	unprocessed_pseudogene
	ENSG00000291407	lncRNA
	ENSG00000292235	unprocessed_pseudogene
	ENSG00000292236	processed_pseudogene
LINC01300	ENSG00000291463	lncRNA
	ENSG00000292238	unprocessed_pseudogene
	ENSG00000291464	lncRNA
GPR20	ENSG00000291465	protein_coding
	ENSG00000291472	lncRNA
	ENSG00000292239	unprocessed_pseudogene
ASTILCS	ENSG00000291466	lncRNA
	ENSG00000292240	unprocessed_pseudogene
PTP4A3	ENSG00000291470	protein_coding
	ENSG00000292241	unprocessed_pseudogene
	ENSG00000292242	unprocessed_pseudogene
	ENSG00000292229	unprocessed_pseudogene
	ENSG00000291467	lncRNA
	ENSG00000291468	snoRNA
HNRNPA1P38	ENSG00000291469	processed_pseudogene
	ENSG00000291471	lncRNA
	ENSG00000292226	protein_coding
C8orf90	ENSG00000291474	protein_coding
MROH5	ENSG00000291473	protein_coding
	ENSG00000292228	protein_coding
	ENSG00000292227	protein_coding
NBPF1	ENSG00000292225	protein_coding
RPL14P5	ENSG00000292328	processed_pseudogene
	ENSG00000292329	unprocessed_pseudogene
DHRSX-IT1	ENSG00000292337	lncRNA
DHRSX	ENSG00000292338	protein_coding
RNU6-1004P	ENSG00000285481	snRNA
ORAI1	ENSG00000293604	protein_coding
LINC00685	ENSG00000292342	lncRNA
MIR6089	ENSG00000292346	miRNA
LINC00102	ENSG00000292347	lncRNA
	ENSG00000292350	misc_RNA
FABP5P13	ENSG00000292352	processed_pseudogene
KRT18P53	ENSG00000292353	processed_pseudogene
SHOX	ENSG00000292354	protein_coding
MIR3690	ENSG00000292355	miRNA
RNA5SP498	ENSG00000292356	rRNA_pseudogene
CD99P1	ENSG00000292361	transcribed_unprocessed_pseudogene
CRLF2	ENSG00000292363	protein_coding
ASMT	ENSG00000292336	protein_coding
	ENSG00000292330	lncRNA
	ENSG00000310541	lncRNA
	ENSG00000310543	lncRNA
	ENSG00000310544	lncRNA
	ENSG00000310545	lncRNA
	ENSG00000310546	lncRNA
ASMTL-AS1	ENSG00000292331	lncRNA
	ENSG00000291410	lncRNA
	ENSG00000291411	lncRNA
	ENSG00000310547	lncRNA
	ENSG00000291412	lncRNA
	ENSG00000310548	lncRNA
	ENSG00000291413	TEC
	ENSG00000292349	lncRNA
MIR4740	ENSG00000291414	miRNA
MIR3186	ENSG00000291415	miRNA
	ENSG00000291416	lncRNA
LINC01971	ENSG00000291417	lncRNA
	ENSG00000291418	lncRNA
ACTG1	ENSG00000291420	protein_coding
LINC00106	ENSG00000292341	lncRNA
	ENSG00000310549	lncRNA
	ENSG00000310551	lncRNA
	ENSG00000310552	lncRNA
	ENSG00000292335	lncRNA
	ENSG00000310553	lncRNA
	ENSG00000310554	lncRNA
	ENSG00000310556	lncRNA
LINC02968	ENSG00000310540	lncRNA
BAHCC1	ENSG00000291421	protein_coding
	ENSG00000291422	lncRNA
	ENSG00000291423	lncRNA
	ENSG00000291424	lncRNA
LINC03048	ENSG00000291425	lncRNA
CD99P1	ENSG00000292362	lncRNA
LINC03112	ENSG00000292360	lncRNA
	ENSG00000310557	lncRNA
ZBED1	ENSG00000292345	protein_coding
	ENSG00000284750	lncRNA
PPP2R3B	ENSG00000292327	protein_coding
	ENSG00000285415	processed_pseudogene
RPL21P63	ENSG00000285209	processed_pseudogene
GCNT2P1	ENSG00000284885	processed_pseudogene
	ENSG00000285893	lncRNA
C6orf52	ENSG00000285312	protein_coding
	ENSG00000288406	processed_pseudogene
CD99	ENSG00000292348	protein_coding
	ENSG00000284941	misc_RNA
PAK1IP1	ENSG00000285226	protein_coding
TMEM14C	ENSG00000284936	protein_coding
PLCXD1	ENSG00000292344	protein_coding
GCNT2	ENSG00000285222	protein_coding
P2RY8	ENSG00000292333	protein_coding
IL3RA	ENSG00000292332	protein_coding
GTPBP6	ENSG00000292358	protein_coding
SLC25A6	ENSG00000292334	protein_coding
ASMTL	ENSG00000292339	protein_coding
CSF2RA	ENSG00000292357	protein_coding
	ENSG00000288260	protein_coding
RNU5B-4P	ENSG00000288430	snRNA
ECSCR	ENSG00000288297	protein_coding
SMIM33	ENSG00000288274	protein_coding
STING1	ENSG00000288243	protein_coding
CTBP2P1	ENSG00000281211	processed_pseudogene
AKAP17A	ENSG00000292343	protein_coding
AMD1P2	ENSG00000292364	processed_pseudogene
DPH3P2	ENSG00000292365	processed_pseudogene
ELOCP24	ENSG00000292367	processed_pseudogene
TRPC6P1	ENSG00000292368	processed_pseudogene
	ENSG00000292369	lncRNA
DDX11L16	ENSG00000292371	unprocessed_pseudogene
WASH6P	ENSG00000292372	protein_coding
	ENSG00000310550	lncRNA
	ENSG00000310555	lncRNA
WASIR1	ENSG00000292370	lncRNA
	ENSG00000310542	lncRNA
IL9R	ENSG00000292373	protein_coding
VAMP7	ENSG00000292366	protein_coding
	ENSG00000288388	processed_pseudogene
NCOA4P4	ENSG00000288138	processed_pseudogene
TSPY24P	ENSG00000215601	unprocessed_pseudogene
ZNF92P1Y	ENSG00000215603	processed_pseudogene
SERBP1P2	ENSG00000225878	processed_pseudogene
TSPY12P	ENSG00000236435	unprocessed_pseudogene
DUX4L19	ENSG00000258991	unprocessed_pseudogene
	ENSG00000224518	processed_pseudogene
OFD1P3Y	ENSG00000231988	unprocessed_pseudogene
RBMY2HP	ENSG00000238073	unprocessed_pseudogene
	ENSG00000275866	processed_pseudogene
ELOCP35	ENSG00000271595	processed_pseudogene
SLC9B1P1	ENSG00000183704	unprocessed_pseudogene
USP12PY	ENSG00000232927	processed_pseudogene
KDM5DP1	ENSG00000277438	processed_pseudogene
DUX4L17	ENSG00000259154	unprocessed_pseudogene
	ENSG00000283163	TEC
	ENSG00000273863	processed_pseudogene
	ENSG00000271375	processed_pseudogene
ZNF736P6Y	ENSG00000224634	processed_pseudogene
TUSC2P1	ENSG00000285470	processed_pseudogene
PUDPP1	ENSG00000234620	unprocessed_pseudogene
	ENSG00000236690	unprocessed_pseudogene
CDRT15P10	ENSG00000273693	processed_pseudogene
	ENSG00000223422	unprocessed_pseudogene
RNF19BPY	ENSG00000225653	processed_pseudogene
TUBB1P2	ENSG00000228578	unprocessed_pseudogene
	ENSG00000275280	processed_pseudogene
ACTR3BP1	ENSG00000270242	processed_pseudogene
RPS24P1	ENSG00000236477	processed_pseudogene
RCC2P2	ENSG00000237997	processed_pseudogene
ZNF736P8Y	ENSG00000244246	processed_pseudogene
BPY2	ENSG00000183753	protein_coding
MTND1P12	ENSG00000225433	unprocessed_pseudogene
CTBP2P1	ENSG00000235857	processed_pseudogene
MTND6P1	ENSG00000223955	processed_pseudogene
PABPC1P5	ENSG00000270455	processed_pseudogene
RCC2P1	ENSG00000234385	processed_pseudogene
SHROOM2P1	ENSG00000226863	transcribed_unprocessed_pseudogene
	ENSG00000271365	processed_pseudogene
DUX4L18	ENSG00000259029	unprocessed_pseudogene
ZNF736P11Y	ENSG00000215537	processed_pseudogene
BPY2DP	ENSG00000229745	unprocessed_pseudogene
CHEK2P1	ENSG00000275828	unprocessed_pseudogene
ZNF886P	ENSG00000232522	unprocessed_pseudogene
OFD1P16Y	ENSG00000277519	unprocessed_pseudogene
	ENSG00000273731	processed_pseudogene
ASS1P6	ENSG00000215583	processed_pseudogene
SNX18P1Y	ENSG00000274162	processed_pseudogene
MED14P1	ENSG00000233774	unprocessed_pseudogene
ZNF885P	ENSG00000228764	processed_pseudogene
ARSFP1	ENSG00000232226	transcribed_unprocessed_pseudogene
	ENSG00000224567	processed_pseudogene
ZNF736P7Y	ENSG00000241200	processed_pseudogene
SURF6P1	ENSG00000228518	processed_pseudogene
	ENSG00000274231	processed_pseudogene
ANKRD20A6P	ENSG00000274502	processed_pseudogene
	ENSG00000278854	processed_pseudogene
RBMY2KP	ENSG00000225809	unprocessed_pseudogene
TTTY19	ENSG00000232419	lncRNA
TTTY4	ENSG00000226906	lncRNA
	ENSG00000230025	unprocessed_pseudogene
MXRA5Y	ENSG00000235649	unprocessed_pseudogene
DUX4L16	ENSG00000258567	unprocessed_pseudogene
MTCYBP1	ENSG00000234179	processed_pseudogene
	ENSG00000271309	processed_pseudogene
TTTY17A	ENSG00000228240	lncRNA
AGPAT5P1	ENSG00000234652	processed_pseudogene
	ENSG00000218410	processed_pseudogene
FAM41AY1	ENSG00000224989	lncRNA
	ENSG00000273858	processed_pseudogene
TRIM60P3Y	ENSG00000227830	processed_pseudogene
MTND1P1	ENSG00000226529	processed_pseudogene
	ENSG00000274837	processed_pseudogene
PRRC2CP1	ENSG00000216777	processed_pseudogene
ZNF736P10Y	ENSG00000216824	processed_pseudogene
	ENSG00000276829	unprocessed_pseudogene
	ENSG00000283076	transcribed_unprocessed_pseudogene
MTND2P3	ENSG00000234850	processed_pseudogene
	ENSG00000270570	processed_pseudogene
	ENSG00000223517	lncRNA
	ENSG00000228207	unprocessed_pseudogene
ARSDP1	ENSG00000225117	unprocessed_pseudogene
CDY4P	ENSG00000228411	processed_pseudogene
UBE2V1P3	ENSG00000229518	processed_pseudogene
FAM8A4P	ENSG00000232730	processed_pseudogene
	ENSG00000244000	processed_pseudogene
TRIM60P8Y	ENSG00000232764	processed_pseudogene
MED13P1	ENSG00000236131	processed_pseudogene
CYCSP46	ENSG00000227949	processed_pseudogene
RNU6-303P	ENSG00000252900	snRNA
	ENSG00000252689	snoRNA
RN7SL702P	ENSG00000243980	misc_RNA
RNA5SP520	ENSG00000252315	rRNA_pseudogene
RNA5SP521	ENSG00000252012	rRNA_pseudogene
	ENSG00000273966	misc_RNA
RNU6-109P	ENSG00000252173	snRNA
RNU6-184P	ENSG00000252323	snRNA
HSFY2	ENSG00000169953	protein_coding
RNA5SP266	ENSG00000284058	rRNA_pseudogene
GPM6BP2	ENSG00000236429	unprocessed_pseudogene
USP9YP2	ENSG00000249501	unprocessed_pseudogene
ELOCP14	ENSG00000228193	processed_pseudogene
XKRYP2	ENSG00000230904	unprocessed_pseudogene
USP9YP10	ENSG00000238135	unprocessed_pseudogene
RNU1-41P	ENSG00000251970	snRNA
OFD1P7Y	ENSG00000238088	unprocessed_pseudogene
MTCYBP2	ENSG00000217179	processed_pseudogene
ZNF839P1	ENSG00000217896	processed_pseudogene
CD24P4	ENSG00000185275	processed_pseudogene
RNU6-255P	ENSG00000252766	snRNA
	ENSG00000274282	processed_pseudogene
GAPDHP19	ENSG00000234529	processed_pseudogene
CLUHP1	ENSG00000238191	unprocessed_pseudogene
TAF9P1	ENSG00000226353	processed_pseudogene
CDY5P	ENSG00000226449	unprocessed_pseudogene
ELOCP36	ENSG00000225896	processed_pseudogene
ACTG1P2	ENSG00000229129	processed_pseudogene
