Regulator	Score	N_modules	N_targets	Modules	Targets
H2B_[16]_(K)_Bu	10.217506154174135	2.0	24.0	10|22	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H2A_[5]_(K)_Unmod	9.836480809230697	1.0	15.0	7	BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A
H4_[12]_(K)_Ac	9.609334978254864	2.0	40.0	3|13	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
H31_[79]_(K)_Bu	8.332576160594725	1.0	15.0	11	PTPRJ|GGT1|PRKCD|ABR|SYTL1|IL1RAP|UBLCP1|RASSF2|TNFAIP8|PSMB8|CAPG|CASP1|MOB3A|B3GAT3|HCK
H2A_[7]_(K)_Unmod	7.899688337013545	1.0	11.0	22	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H31_[36]_(K)_Ac	7.050640859759592	1.0	14.0	16	MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
H1_[16]_(K)_Ac	6.940605996537793	1.0	11.0	22	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H2B_[16]_(K)_Su	6.3786068220338	1.0	26.0	6	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
H1_[16]_(K)_Me3	6.041506401964796	1.0	14.0	16	MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
H1_[84]_(K)_Unmod	5.65470551318498	1.0	17.0	9	SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
H2A_[17]_(K)_Unmod	5.569607748114488	1.0	15.0	7	BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A
H31_[36]_(K)_Me2	5.150676240761502	1.0	17.0	1	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4
H31_[4]_(K)_Bu	4.532191636495894	1.0	11.0	22	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H1_[81]_(K)_Unmod	4.496793741075554	1.0	17.0	9	SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
H1_[145]_(K)_Unmod	4.266269807030196	1.0	28.0	3	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1
H4_[20]_(K)_Unmod	4.151991797143836	1.0	13.0	10	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
H1_[78]_(N)_Deam	3.8890011714942734	1.0	13.0	10	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
H31_[23]_(K)_Ac	3.665502421824932	1.0	15.0	11	PTPRJ|GGT1|PRKCD|ABR|SYTL1|IL1RAP|UBLCP1|RASSF2|TNFAIP8|PSMB8|CAPG|CASP1|MOB3A|B3GAT3|HCK
