Regulator	Targets
H1_[16]_(K)_Hib	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H2B_[16]_(K)_Su	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
H2A_[5]_(K)_Unmod	BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A
H2A_[17]_(K)_Unmod	BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A
H1_[84]_(K)_Unmod	SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
H1_[81]_(K)_Unmod	SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
H4_[8]_(K)_Bu	SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1|MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
H4_[20]_(K)_Unmod	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
H1_[78]_(N)_Deam	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
H2B_[16]_(K)_Bu	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H31_[79]_(K)_Bu	PTPRJ|GGT1|PRKCD|ABR|SYTL1|IL1RAP|UBLCP1|RASSF2|TNFAIP8|PSMB8|CAPG|CASP1|MOB3A|B3GAT3|HCK
H31_[23]_(K)_Ac	PTPRJ|GGT1|PRKCD|ABR|SYTL1|IL1RAP|UBLCP1|RASSF2|TNFAIP8|PSMB8|CAPG|CASP1|MOB3A|B3GAT3|HCK
H31_[36]_(K)_Ac	MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
H1_[16]_(K)_Me3	MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
H1_[16]_(K)_Unmod	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H2A_[7]_(K)_Unmod	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H1_[16]_(K)_Ac	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H31_[4]_(K)_Bu	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
