HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
BCL11A	BAF_chromatin_remodeling_complex_subunit_BCL11A		Q9H165	ENSG00000119866	1	1	BCL11A	b	BCL11A		BCL11A	2.3.4.15.1	BCL11A	BCL11A	6		PTHR45993	SF5	B-CELL_LYMPHOMA/LEUKEMIA_11A
BCL11B	BAF_chromatin_remodeling_complex_subunit_BCL11B		Q9C0K0	ENSG00000127152	1	1	BCL11B	a	BCL11B		BCL11B	2.3.4.15.2	BCL11B	BCL11B	6	BCL11B	PTHR45993	SF4	B-CELL_LYMPHOMA/LEUKEMIA_11B
BCL6	BCL6_transcription_repressor		P41182	ENSG00000113916	1	1	BCL6	a	BCL6	BCL6	BCL6	2.3.3.22.2	BCL6	BCL6	7	BCL6	PTHR24399	SF29	B-CELL_LYMPHOMA_6_PROTEIN
BCL6B	BCL6B_transcription_repressor		Q8N143	ENSG00000161940	1	1	BCL6B	a	BCL6B	BCL6B	BCL6B	2.3.3.22.1	BCL6B	BCL6B	7	BCL6B	PTHR24399	SF37	B-CELL_CLL/LYMPHOMA_6_MEMBER_B_PROTEIN
BHLHA15	basic_helix-loop-helix_family_member_a15		Q7RTS1	ENSG00000180535	1	1	BHLHA15	a	BHLHA15	BHLHA15	BHLHA15	1.2.3.4.16	BHLHA15	BHLHA15	7	BHLHA15	PTHR19290	SF97	CLASS_A_BASIC_HELIX-LOOP-HELIX_PROTEIN_15
BHLHA9	basic_helix-loop-helix_family_member_a9		Q7RTU4	ENSG00000205899	1	1	BHLHA9	c	BHLHA9	BHLHA9	BHLHA9	1.2.3.5.1	BHLHA9	BHLHA9	7		PTHR23349	SF10	CLASS_A_BASIC_HELIX-LOOP-HELIX_PROTEIN_9
BHLHE22	basic_helix-loop-helix_family_member_e22		Q8NFJ8	ENSG00000180828	1	1	BHLHE22	a	BHLHE22	BHLHE22	BHLHE22	1.2.3.4.11	BHLHE22	BHLHE22	7	BHLHE22	PTHR19290	SF52	CLASS_E_BASIC_HELIX-LOOP-HELIX_PROTEIN_22
BHLHE23	basic_helix-loop-helix_family_member_e23		Q8NDY6	ENSG00000125533	1	1	BHLHE23	a	BHLHE23	BHLHE23	BHLHE23	1.2.3.4.12	BHLHE23	BHLHE23	7	BHLHE23	PTHR19290	SF53	CLASS_E_BASIC_HELIX-LOOP-HELIX_PROTEIN_23
BHLHE40	basic_helix-loop-helix_family_member_e40		O14503	ENSG00000134107	1	1	BHLHE40	a	BHLHE40	BHLHE40	BHLHE40	1.2.4.1.12	BHLHE40	BHLHE40	7	BHLHE40	PTHR10985	SF3	CLASS_E_BASIC_HELIX-LOOP-HELIX_PROTEIN_40
BHLHE41	basic_helix-loop-helix_family_member_e41		Q9C0J9	ENSG00000123095	1	1	BHLHE41	b	BHLHE41	BHLHE41	BHLHE41	1.2.4.1.13	BHLHE41	BHLHE41	7	BHLHE41	PTHR10985	SF76	CLASS_E_BASIC_HELIX-LOOP-HELIX_PROTEIN_41
BNC1	basonuclin_1		Q01954	ENSG00000169594	1	1	BNC1	a	BNC1	BNC1	BNC1	2.3.4.19.1	BNC1	BNC1	7		PTHR15021	SF1	ZINC_FINGER_PROTEIN_BASONUCLIN-1
BSX	brain_specific_homeobox		Q3C1V8	ENSG00000188909	1	1	BSX	c	BSX	BSX	BSX	3.1.2.3.1	BSX	BSX	7	BSX	PTHR24327	SF35	BRAIN-SPECIFIC_HOMEOBOX_PROTEIN_HOMOLOG
CARF	calcium_responsive_transcription_factor		Q8N187	ENSG00000138380	1	1	CARF		CARF	CARF			CARF	CARF	4		PTHR14694	SF1	CALCIUM-RESPONSIVE_TRANSCRIPTION_FACTOR
CASZ1	castor_zinc_finger_1		Q86V15	ENSG00000130940	1	1		b	CASZ1	CASZ1	CASZ1	2.3.4.0.1	CASZ1	CASZ1	7		PTHR12451	SF0	ZINC_FINGER_PROTEIN_CASTOR_HOMOLOG_1
CC2D1A	coiled-coil_and_C2_domain_containing_1A		Q6P1N0	ENSG00000132024	1	1	CC2D1A		CC2D1A	CC2D1A			CC2D1A	CC2D1A	4		PTHR13076	SF8	COILED-COIL_AND_C2_DOMAIN-CONTAINING_PROTEIN_1A
CC2D1B	coiled-coil_and_C2_domain_containing_1B		Q5T0F9	ENSG00000154222	1	1	CC2D1B		CC2D1B	CC2D1B					2		PTHR13076	SF5	COILED-COIL_AND_C2_DOMAIN-CONTAINING_PROTEIN_1B
CDC5L	cell_division_cycle_5_like		Q99459	ENSG00000096401	1	1	CDC5L	a	CDC5L	CDC5L	CDC5L	3.5.1.1.4	CDC5L	CDC5L	7		PTHR45885	SF1	CELL_DIVISION_CYCLE_5-LIKE_PROTEIN
CDX1	caudal_type_homeobox_1		P47902	ENSG00000113722	1	1	CDX1	a	CDX1	CDX1	CDX1	3.1.1.9.1	CDX1	CDX1	7	CDX1	PTHR24332	SF16	HOMEOBOX_PROTEIN_CDX-1
CDX2	caudal_type_homeobox_2		Q99626	ENSG00000165556	1	1	CDX2	a	CDX2	CDX2	CDX2	3.1.1.9.2	CDX2	CDX2	7	CDX2	PTHR24332	SF27	HOMEOBOX_PROTEIN_CDX-2
CDX4	caudal_type_homeobox_4		O14627	ENSG00000131264	1	1	CDX4	a	CDX4	CDX4	CDX4	3.1.1.9.3	CDX4	CDX4	7	CDX4	PTHR24332	SF15	HOMEOBOX_PROTEIN_CDX-4
CEBPA	CCAAT_enhancer_binding_protein_alpha		P49715	ENSG00000245848	1	1	CEBPA	other	CEBPA	CEBPA	CEBPA	1.1.8.1.1	CEBPA	CEBPA	7		PTHR23334	SF5	CCAAT/ENHANCER-BINDING_PROTEIN_ALPHA
CEBPB	CCAAT_enhancer_binding_protein_beta		P17676	ENSG00000172216	1	1	CEBPB	a	CEBPB	CEBPB	CEBPB	1.1.8.1.2	CEBPB	CEBPB	7	CEBPB	PTHR23334	SF21	CCAAT/ENHANCER-BINDING_PROTEIN_BETA
CEBPD	CCAAT_enhancer_binding_protein_delta		P49716	ENSG00000221869	1	1	CEBPD		CEBPD	CEBPD	CEBPD	1.1.8.1.4	CEBPD	CEBPD	6	CEBPD	PTHR23334	SF3	CCAAT/ENHANCER-BINDING_PROTEIN_DELTA
CEBPE	CCAAT_enhancer_binding_protein_epsilon		Q15744	ENSG00000092067	1	1	CEBPE	a	CEBPE	CEBPE	CEBPE	1.1.8.1.5	CEBPE	CEBPE	7	CEBPE	PTHR23334	SF27	CCAAT/ENHANCER-BINDING_PROTEIN_EPSILON
CEBPG	CCAAT_enhancer_binding_protein_gamma		P53567	ENSG00000153879	1	1	CEBPG	a	CEBPG	CEBPG	CEBPG	1.1.8.1.3	CEBPG	CEBPG	7	CEBPG	PTHR23334	SF57	CCAAT/ENHANCER-BINDING_PROTEIN_GAMMA
CIC	capicua_transcriptional_repressor		Q96RK0	ENSG00000079432	1	1	CIC	a	CIC	CIC	CIC	4.1.1.9.1	CIC	CIC	7		PTHR13059	SF17	PROTEIN_CAPICUA_HOMOLOG
CLOCK	clock_circadian_regulator		O15516	ENSG00000134852	1	1	CLOCK	a	CLOCK	CLOCK	CLOCK	1.2.5.2.5	CLOCK	CLOCK	7	CLOCK	PTHR46055	SF2	CIRCADIAN_LOCOMOTER_OUTPUT_CYCLES_PROTEIN_KAPUT
CPHXL	cytoplasmic_polyadenylated_homeobox_like		A0A1W2PPM1	ENSG00000283755	1	1								CPHXL	1		PTHR24341	SF1	CYTOPLASMIC_POLYADENYLATED_HOMEOBOX-LIKE
CREB1	cAMP_responsive_element_binding_protein_1		P16220	ENSG00000118260	1	1	CREB1	a	CREB1	CREB1	CREB1	1.1.7.1.1	CREB1	CREB1	7	CREB1	PTHR45879	SF1	CYCLIC_AMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN_1
CREB3	cAMP_responsive_element_binding_protein_3		O43889	ENSG00000107175	1	1	CREB3	a	CREB3	CREB3	CREB3	1.1.7.2.1	CREB3	CREB3	7	CREB3	PTHR45996	SF4	CYCLIC_AMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN_3
CREB3L1	cAMP_responsive_element_binding_protein_3_like_1		Q96BA8	ENSG00000157613	1	1	CREB3L1	a	CREB3L1	CREB3L1	CREB3L1	1.1.7.2.2	CREB3L1	CREB3L1	7	CREB3L1	PTHR46004	SF1	CYCLIC_AMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN_3-LIKE_PROTEIN_1
CREB3L2	cAMP_responsive_element_binding_protein_3_like_2		Q70SY1	ENSG00000182158	1	1	CREB3L2	a	CREB3L2	CREB3L2	CREB3L2	1.1.7.2.3	CREB3L2	CREB3L2	7		PTHR46004	SF2	CYCLIC_AMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN_3-LIKE_PROTEIN_2
CREB3L3	cAMP_responsive_element_binding_protein_3_like_3		Q68CJ9	ENSG00000060566	1	1	CREB3L3	b	CREB3L3	CREB3L3	CREB3L3	1.1.7.2.4	CREB3L3	CREB3L3	7		PTHR45996	SF1	CYCLIC_AMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN_3-LIKE_PROTEIN_3
CREB3L4	cAMP_responsive_element_binding_protein_3_like_4		Q8TEY5	ENSG00000143578	1	1	CREB3L4	a	CREB3L4	CREB3L4	CREB3L4	1.1.7.2.5	CREB3L4	CREB3L4	7	CREB3L4	PTHR45996	SF2	CYCLIC_AMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN_3-LIKE_PROTEIN_4
CREB5	cAMP_responsive_element_binding_protein_5		Q02930	ENSG00000146592	1	1	CREB5	a	CREB5	CREB5	CREB5	1.1.1.3	CREB5	CREB5	7	CREB5	PTHR19304	SF8	CYCLIC_AMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN_5
CREBL2	cAMP_responsive_element_binding_protein_like_2		O60519	ENSG00000111269	1	1	CREBL2	a	CREBL2	CREBL2	CREBL2	1.1.7.5.1	CREBL2	CREBL2	7		PTHR21051	SF4	CAMP-RESPONSIVE_ELEMENT-BINDING_PROTEIN-LIKE_2
CREBRF	CREB3_regulatory_factor		Q8IUR6	ENSG00000164463	1	1	CREBRF	c	CREBRF	CREBRF	CREBRF			CREBRF	5		PTHR21552	SF2	CREB3_REGULATORY_FACTOR
CREBZF	CREB/ATF_bZIP_transcription_factor		Q9NS37	ENSG00000137504	1	1	CREBZF	a		CREBZF	CREBZF	1.1.7.4.1	CREBZF	CREBZF	6		PTHR14312	SF1	CREB/ATF_BZIP_TRANSCRIPTION_FACTOR
CREM	cAMP_responsive_element_modulator		Q03060	ENSG00000095794	1	1	CREM	a	CREM	CREM	CREM	1.1.7.1.3	CREM	CREM	7	CREM	PTHR45879	SF4	CAMP-RESPONSIVE_ELEMENT_MODULATOR
CRX	cone-rod_homeobox		O43186	ENSG00000105392	1	1	CRX	a	CRX	CRX	CRX	3.1.3.17.3	CRX	CRX	7	CRX	PTHR45793	SF7	CONE-ROD_HOMEOBOX_PROTEIN
CSRNP1	cysteine_and_serine_rich_nuclear_protein_1		Q96S65	ENSG00000144655	1	1	CSRNP1		CSRNP1	CSRNP1	CSRNP1	0.1.1.0.1	CSRNP1	CSRNP1	6		PTHR13580	SF10	CYSTEINE/SERINE-RICH_NUCLEAR_PROTEIN_1
CSRNP2	cysteine_and_serine_rich_nuclear_protein_2		Q9H175	ENSG00000110925	1	1	CSRNP2		CSRNP2	CSRNP2	CSRNP2	0.1.1.0.2	CSRNP2	CSRNP2	6		PTHR13580	SF6	CYSTEINE/SERINE-RICH_NUCLEAR_PROTEIN_2
CSRNP3	cysteine_and_serine_rich_nuclear_protein_3		Q8WYN3	ENSG00000178662	1	1	CSRNP3		CSRNP3	CSRNP3	CSRNP3	0.1.1.0.3	CSRNP3	CSRNP3	6		PTHR13580	SF13	CYSTEINE/SERINE-RICH_NUCLEAR_PROTEIN_3
CTCF	CCCTC-binding_factor		P49711	ENSG00000102974	1	1	CTCF	a	CTCF	CTCF	CTCF	2.3.3.50.1	CTCF	CTCF	7		PTHR24404	SF43	TRANSCRIPTIONAL_REPRESSOR_CTCF
CTCFL	CCCTC-binding_factor_like		Q8NI51	ENSG00000124092	1	1	CTCFL	a	CTCFL	CTCFL	CTCFL	2.3.3.50.2	CTCFL	CTCFL	7		PTHR24406	SF8	TRANSCRIPTIONAL_REPRESSOR_CTCFL
CUX1	cut_like_homeobox_1		P39880	ENSG00000257923	1	1	CUX1	b	CUX1	CUX1	CUX1	3.1.9.2.1	CUX1	CUX1	7	CUX1	PTHR14043	SF4	HOMEOBOX_PROTEIN_CUT-LIKE_1
CUX2	cut_like_homeobox_2		O14529	ENSG00000111249	1	1	CUX2	a	CUX2	CUX2	CUX2	3.1.9.2.2	CUX2	CUX2	7	CUX2	PTHR14043	SF5	HOMEOBOX_PROTEIN_CUT-LIKE_2
DACH1	dachshund_family_transcription_factor_1		Q9UI36	ENSG00000276644	1	1	DACH1	a	DACH1	DACH1	DACH1		DACH1	DACH1	6		PTHR12577	SF14	DACHSHUND_HOMOLOG_1
DACH2	dachshund_family_transcription_factor_2		Q96NX9	ENSG00000126733	1	1	DACH2	a	DACH2	DACH2	DACH2		DACH2	DACH2	6		PTHR12577	SF7	DACHSHUND_HOMOLOG_2
DBP	D-box_binding_PAR_bZIP_transcription_factor		Q10586	ENSG00000105516	1	1	DBP	a	DBP	DBP	DBP	1.1.8.2.1	DBP	DBP	7	DBP	PTHR11988	SF7	D_SITE-BINDING_PROTEIN
DBX1	developing_brain_homeobox_1		A6NMT0	ENSG00000109851	1	1	DBX1	b	DBX1	DBX1	DBX1	3.1.2.4.1	DBX1	DBX1	7		PTHR24331	SF6	HOMEOBOX_PROTEIN_DBX1
DBX2	developing_brain_homeobox_2		Q6ZNG2	ENSG00000185610	1	1	DBX2	b	DBX2	DBX2	DBX2	3.1.2.4.2	DBX2	DBX2	7		PTHR24331	SF4	HOMEOBOX_PROTEIN_DBX2
DDIT3	DNA_damage_inducible_transcript_3		P35638	ENSG00000175197	1	1	DDIT3	a	DDIT3	DDIT3	DDIT3	1.1.8.1.6	DDIT3	DDIT3	7		PTHR16833	SF0	DNA_DAMAGE-INDUCIBLE_TRANSCRIPT_3_PROTEIN
DEAF1	DEAF1_transcription_factor		O75398	ENSG00000177030	1	1	DEAF1	a	DEAF1	DEAF1	DEAF1	5.3.2.0.1	DEAF1	DEAF1	7		PTHR10237	SF1	DEFORMED_EPIDERMAL_AUTOREGULATORY_FACTOR_1_HOMOLOG
DLX1	distal-less_homeobox_1		P56177	ENSG00000144355	1	1	DLX1	a	DLX1	DLX1	DLX1	3.1.2.5.1	DLX1	DLX1	7	DLX1	PTHR24327	SF33	HOMEOBOX_PROTEIN_DLX-1
DLX2	distal-less_homeobox_2		Q07687	ENSG00000115844	1	1	DLX2	a	DLX2	DLX2	DLX2	3.1.2.5.2	DLX2	DLX2	7	DLX2	PTHR24327	SF23	HOMEOBOX_PROTEIN_DLX-2
DLX3	distal-less_homeobox_3		O60479	ENSG00000064195	1	1	DLX3	a	DLX3	DLX3	DLX3	3.1.2.5.3	DLX3	DLX3	7	DLX3	PTHR24327	SF28	HOMEOBOX_PROTEIN_DLX-3
DLX4	distal-less_homeobox_4		Q92988	ENSG00000108813	1	1	DLX4	a	DLX4	DLX4	DLX4	3.1.2.5.4	DLX4	DLX4	7	DLX4	PTHR24327	SF21	HOMEOBOX_PROTEIN_DLX-4
